,gender,Is a freshman,Whether to start the question on time,Undergraduate school level,Number of students supervised by instructor,Average grades for degree courses,Number of SCI articles published in three years of enrollment,Number of EI articles published three years after enrollment,Total articles published in admissions,Delay time
0,male,no,yes,985,1,84.51977241880539,0,1,2,2.1
1,female,no,yes,211,9,77.87285440624856,2,4,7,3.4
2,female,yes,no,general,9,75.85603842656475,0,4,5,2.9
3,female,yes,no,211,12,77.21812866704221,0,2,3,0.4
4,male,no,yes,general,2,84.31101463373683,3,1,5,0.3
5,female,no,no,211,14,78.44560673858956,0,4,5,2.0
6,female,no,yes,211,4,74.77604165861543,1,2,4,0.7
7,male,no,no,211,10,84.12006593471563,0,0,1,3.2
8,female,no,no,985,7,77.32305972860684,3,2,6,2.0
9,male,no,no,general,8,76.18773933119898,3,2,6,0.1
10,male,no,yes,general,2,81.12109074849289,1,0,2,3.7
11,female,no,no,general,13,78.28403468664264,3,0,4,2.6
12,male,yes,yes,211,4,80.35602030926518,1,4,6,0.8
13,female,no,no,211,2,77.2230411747095,1,0,2,6.5
14,female,no,no,211,12,86.67941503470614,2,4,7,0.5
15,male,no,yes,985,0,74.73736030796071,2,1,4,0.5
16,female,no,no,211,10,68.85732642000654,2,1,4,0.1
17,male,yes,no,211,2,78.06611006865819,4,0,5,2.3
18,male,no,yes,general,4,79.4219842131102,4,2,7,1.9
19,male,no,no,general,2,80.291049600458,4,0,5,0.7
20,female,no,yes,985,12,75.84534681850329,0,0,1,0.0
21,female,yes,no,general,10,80.58874986277424,2,3,6,0.9
22,female,yes,yes,211,11,80.72948981410913,0,2,3,1.4
23,male,no,no,general,7,76.36292969751018,2,1,4,0.1
24,male,no,no,211,4,77.48223741083066,3,2,6,0.3
25,female,no,no,985,4,66.41901856881492,4,0,5,0.7
26,female,no,yes,985,7,72.06867234179528,4,1,6,1.2
27,female,yes,yes,985,11,78.26115472546246,0,1,2,1.4
28,female,yes,no,211,5,81.20090740725611,1,4,6,1.1
29,male,no,no,general,8,63.1111501694395,4,1,6,2.2
30,female,yes,yes,general,5,73.8165830118797,3,2,6,0.2
31,male,no,no,985,3,77.27891813550553,0,0,1,1.8
32,female,yes,yes,general,13,73.6465881017488,4,2,7,0.8
33,male,no,no,general,6,74.53306140900938,4,4,9,0.7
34,female,no,yes,211,8,76.16069203568269,0,0,1,0.1
35,female,no,yes,211,3,76.50330514536299,0,0,1,2.0
36,female,yes,no,general,1,85.33836831845285,3,0,4,1.6
37,male,no,no,general,13,71.67311031225205,2,1,4,2.6
38,female,yes,no,985,12,79.86527964069475,3,3,7,1.0
39,female,no,yes,211,4,70.96502112178811,1,4,6,1.6
40,male,yes,yes,211,11,78.87278641359056,3,1,5,1.6
